,Pre EHO Inspection Checklist,,
,,,
,Food Safety & Hygiene Procedures,Yes (Tick),Notes
1,"Are staff wearing clean protective clothing incuding drivers? Are staff fit to work? Is long hair tied back or covered? Are there rules in place for wearing jewellery, nail varnish etc.?",,
2,"Are cooked/ready to eat foods stored separately or above raw foods e.g. raw meat, vegetables, shell eggs?",,
3,Are raw and cooked/ready to eat foods kept separate during preparation? Are separate areas provided?,,
4,"Is there separate designated equipment for raw preparation (e.g. cutting boards, knives, sanitiser spray, cling film, cleaning cloth, disposable aprons)? Is this equipment clearly marked and is it understood that it is for raw preparation only? ",,
5,"Where colour coded equipment is used, is it used correctly in order to prevent cross contamination? Are colour coded chopping boards searated correctly? ",,
6,Are allergen ingredients stored in sealed containers and not in contact with other foods? Are they labelled or easy to identify?,,
7,"Is there separate equipment or preparation space in place for preparing allergen free food e.g. gluten-free items, or for preparing a specific menu item for a customer who has an allergen?",,
8,"Are all foods suitably covered, wrapped or in containers to prevent contamination and spoilage?",,
9,Is there an adequate date marking system in place for prepared foods and stored ingredients? (For example foods labelled with ‘date made’ and/or use by dates). Are foods checked daily to remove out of date items?,,
10,"Are foods being properly stored and temperature controlled? (The core temp of refrigerated food should be 8° ̊C and below, and frozen foods -18°C or below.) Is a clean, calibrated thermometer provided and available for use?",,
11,Can you clearly outline your procedures for making sure food is properly cooked? (High risk foods must be cooked in line with your food safety management system e.g. to a core temperature of 75 ̊C for 30 seconds.),,
12,Are hot held foods kept at a temperature of 63 ̊C and above? Is hot holding equipment preheated and checked to ensure it is capable of maintaining adequate temperature control?,,
13,Are cooked foods cooled and refrigerated within 60 - 90 mins?,,
14,"Can you outline your procedures for safely defrosting frozen foods (e.g. in a refrigerator overnight, in a suitable container to minimise dripping and avoid cross contamination, labelled with a suitable use by date)?",,
,,,
,Structural Requirements,Yes (tick),Notes
1,"Are all food preparation areas and equipment in good condition, clean and well maintained? ",,
2,"Are wash hand basins clean and equipped with running hot and cold water, soap and hygienic hand drying facilities? Are they only used for hand washing?",,
3,Are there an adequate number of refrigerator and freezer facilities to properly store all foods and ensure adequate separation?,,
4,Is there adequate lighting in place to enable adequate pest control checks and effective cleaning to take place?,,
5,Is there adequate mechanical and natural ventilation in place? Are extract systems cleaned and well maintained and are windows and air vents pest proofed where possible?,,
6,"Are all drains and grease traps clean, well maintained and pest proofed? (Drains should be running freely - look for slow draining sinks, broken/ill-fitting drain grills etc.)",,
7,Is a disinfectant spray complying with BS EN1276 or 13697 in use? (Required if handling raw and ready to eat foods).,,
8,Are you familiar with how to use your disinfectant and cleaning products properly? Can you explain the correct contact time and use (e.g. dilution where applicable)? Are staff adequately trained in your cleaning procedures?,,
9,Is a two-stage cleaning process being carried out on food contact surfaces and equipment e.g. chopping boards and knives?,,
10,Are single use cloths used for cleaning? If cloths are reused are they cleaned and disinfected correctly and are separate cloths used for cleaning raw and ready to eat foods areas? Are tea towels free from rips and tears? Is washing being done at 90 degrees?,,
11,Is there an adequate number of sinks for cleaning equipment and washing food? Are taps free of limescale?,,
12,If the same sink is used for both washing equipment and washing food are they effectively cleaned and disinfected between uses?,,
13,Is there a constant readily available supply of hot and cold potable running water for cleaning and food preparation?,,
14,Is the business premises adequately pest proofed and is it regularly checked for pest activity?Is there a record of the pest control checks that are carried out? If a pest control contract is not in place there should be evidence that checks are being carried out in-house.,,
15,Is all waste including used cooking oil stored in suitable clean lidded containers and collected by a licensed waste contractor? Can you provide evidence of this e.g. commercial waste transfer notes?,,
16,is there a cleaning schedule in place? Is it being regularly filled in correctly? ,,
,,,
,Vehicles,,
1,Are delivery vehicles clean inside and out?,,
2,Are mileage sheets being filled in at the right points aswell as being signed and dated?,,
,,,
,Confidence in Management,Yes (Tick),Notes
1,Is there an up-to-date Food Safety Management System (for example Safer Food Better Business) readily available and is it accessible to staff? (Everyone must be aware of its relevance and know where to find it.),,
2,Are you and your staff familiar with the controls outlined in your food safety management system and have you ensured that they reflect the practices and procedures that you are carrying out?,,
3,"Are appropriate opening and closing checks carried out, before and after trading each day? Is there evidence that corrective actions are taken when problems are identified e.g. equipment failures are addressed, customer complaints are investigated?",,
4,Are Daily Diary records kept up-to-date with evidence of the important checks that are carried out? Do staff understand how to use the diary and are they able to access these records on request?,,
5,Are you aware of the 14 allergens and how they impact your business? Has a meaningful risk assessment been carried out to determine which ingredients and menu items contain allergens and how you would minimize cross contamination if asked to prepare an allergen free dish?,,
6,"Are staff able to provide allergen information? Where written information and signposting is available, is it clear and up-to-date?",,
7,Are all staff trained to an appropriate level? Have they undertaken a formal food safety training course and have they also been trained on the food safety procedures outlined in the Safety Management System?,,
8,"Has a supplier list been completed and is there evidence of traceability in place to identify ingredients e.g. recent supplier invoices, receipts, product labels?",,
9,Can you clearly outline your fitness policy/return to work procedures? (Staff must report illness and refrain from work if they have suffered from sickness and diarrhoea then they must refrain from work for 48 hours after symptoms have stopped).,,
10,"Are all records up to date, with fridge/freezer temperatures, Cooking/cooling and reheating temperatures filled in correctly. ",,
11,Is school feedback being responded to in a timely manner? ,,
12,Are serving temperatures recorded daily by the schools?,,
13,Is the manager encouraging scoring on the feedback Sheet?,,
14,Is the weekly record completed every week?,,
15,Have all new employees received induction training? Have all staff received relevant training for their job role? Has retraining following corrective actions taken place and recorded? Is training up to date?,,
,,,
,Particulars,Yes (Tick),
1,Are mops stored off the floor and in relevant buckets? Are any bleach products if on site stored in the toilet correctly?,,
2,"Are High levels clean and free of dirt, Shelving, Coving etc. High/low level cobwebs",,
3,"Is all tabling, work surfaces & behind equipment cleaned regularly and not accumulating dirt and food debris",,
4,Are all chillers clean and free of debris? Are chiller fans cleaned and free of mould and dirt?,,
5,"Are blue crockery boxes/cutlery boxes clean, especially inside where things are stored?",,
6,"Are all drawers or utensil holders free of debris and small parts, no screws etc should be stored in them.  ",,
7,Are Ice packs being used for cold boxes?,,
8,"Are frozen items named, with date frozen and date of expiry (3 months)",,
